Num_Acc,catv,jour,mois,an,agg,lat,long,grav
202100000001,1,30,11,2021,1,44.0389580000,4.3480220000,3
202100000001,1,30,11,2021,1,44.0389580000,4.3480220000,1
202100000006,1,23,11,2021,2,47.6142390000,7.2343360000,4
202100000006,1,23,11,2021,2,47.6142390000,7.2343360000,1
202100000038,1,2,9,2021,2,46.7668890000,4.4566240000,3
202100000038,1,2,9,2021,2,46.7668890000,4.4566240000,1
202100000051,1,9,11,2021,2,43.6074900000,1.4281200000,1
202100000051,1,9,11,2021,2,43.6074900000,1.4281200000,4
202100000062,50,9,10,2021,2,47.2796400000, -2.4152200000,1
202100000062,50,9,10,2021,2,47.2796400000, -2.4152200000,4
202100000065,50,27,10,2021,2,45.5900000000,5.2720000000,1
202100000065,50,27,10,2021,2,45.5900000000,5.2720000000,3
202100000070,1,4,11,2021,2,49.4262285502,2.0853413343,4
202100000070,1,4,11,2021,2,49.4262285502,2.0853413343,1
202100000071,1,14,10,2021,2,49.4186200000,2.0834300000,3
202100000071,1,14,10,2021,2,49.4186200000,2.0834300000,1
202100000071,1,14,10,2021,2,49.4186200000,2.0834300000,1
202100000087,50,20,8,2021,2,43.4991831791,4.9879145902,1
202100000087,50,20,8,2021,2,43.4991831791,4.9879145902,1
202100000087,50,20,8,2021,2,43.4991831791,4.9879145902,4
202100000096,50,29,12,2021,2,48.7107700000,2.4883600000,1
202100000096,50,29,12,2021,2,48.7107700000,2.4883600000,4
202100000101,1,21,10,2021,1,47.6010200000,7.0063270000,2
202100000101,1,21,10,2021,1,47.6010200000,7.0063270000,4
202100000107,1,1,11,2021,2,44.0350580851,5.0246668082,1
202100000107,1,1,11,2021,2,44.0350580851,5.0246668082,2
202100000108,1,6,11,2021,2, -17.5397800000, -149.5450200000,2
202100000130,50,17,12,2021,2,46.1993000000,6.2374600000,1
202100000130,50,17,12,2021,2,46.1993000000,6.2374600000,4
202100000130,50,17,12,2021,2,46.1993000000,6.2374600000,1
202100000136,1,25,5,2021,2,43.5969171534,1.4261841774,1
202100000136,1,25,5,2021,2,43.5969171534,1.4261841774,3
202100000162,1,12,11,2021,2,48.7020770000,2.1905530000,4
202100000162,1,12,11,2021,2,48.7020770000,2.1905530000,1
202100000175,1,30,6,2021,1,43.0585800000,2.0439080000,2
202100000179,1,9,11,2021,2,44.8267700000, -0.6013200000,4
202100000179,1,9,11,2021,2,44.8267700000, -0.6013200000,1
202100000180,1,21,10,2021,2,44.8627300000, -0.5846200000,4
202100000180,1,21,10,2021,2,44.8627300000, -0.5846200000,1
202100000181,1,29,10,2021,2,45.6149750000,6.3191020000,3
202100000181,1,29,10,2021,2,45.6149750000,6.3191020000,1
202100000191,80,30,11,2021,2,48.8846000000,2.3796500000,4
202100000191,80,30,11,2021,2,48.8846000000,2.3796500000,1
202100000195,1,20,12,2021,2,46.2248290000,6.3017860000,1
202100000195,1,20,12,2021,2,46.2248290000,6.3017860000,3
202100000201,1,30,11,2021,2,48.4365200000,0.1049600000,1
202100000201,1,30,11,2021,2,48.4365200000,0.1049600000,4
202100000203,1,18,10,2021,1,48.3397780000,7.0583940000,3
202100000204,80,5,10,2021,2,48.2373580000,6.9520710000,3
202100000204,80,5,10,2021,2,48.2373580000,6.9520710000,1
202100000217,1,14,7,2021,1,48.6538460000,0.4104350000,3
202100000218,1,24,7,2021,2,48.4343330000,0.0935580000,1
202100000218,1,24,7,2021,2,48.4343330000,0.0935580000,4
202100000221,80,30,8,2021,2,50.4129921000,3.6625550000,1
202100000221,80,30,8,2021,2,50.4129921000,3.6625550000,2
202100000226,1,4,6,2021,2,45.5703281257,5.9167166719,1
202100000226,1,4,6,2021,2,45.5703281257,5.9167166719,4
202100000228,1,17,11,2021,2,46.8095700000,1.6701700000,1
202100000228,1,17,11,2021,2,46.8095700000,1.6701700000,4
202100000228,1,17,11,2021,2,46.8095700000,1.6701700000,4
202100000249,1,14,5,2021,1,49.0020710000,2.0815830000,4
202100000249,1,14,5,2021,1,49.0020710000,2.0815830000,1
202100000250,1,21,10,2021,2,45.7761264739,4.8446971178,1
202100000250,1,21,10,2021,2,45.7761264739,4.8446971178,4
202100000251,1,8,10,2021,2,45.7677673652,4.8423796892,1
202100000251,1,8,10,2021,2,45.7677673652,4.8423796892,4
202100000273,50,18,9,2021,2,45.5396791909,4.8613938689,4
202100000273,50,18,9,2021,2,45.5396791909,4.8613938689,4
202100000273,50,18,9,2021,2,45.5396791909,4.8613938689,1
202100000274,1,18,9,2021,2,45.5334100000,4.8738200000,4
202100000274,1,18,9,2021,2,45.5334100000,4.8738200000,1
202100000285,1,9,9,2021,2,45.7532410000,4.8490000000,4
202100000285,1,9,9,2021,2,45.7532410000,4.8490000000,4
202100000293,1,12,11,2021,2,45.7562700000,4.8403700000,4
202100000293,1,12,11,2021,2,45.7562700000,4.8403700000,1
202100000293,1,12,11,2021,2,45.7562700000,4.8403700000,1
202100000294,1,13,11,2021,2,45.7670000000,4.8590000000,4
202100000294,1,13,11,2021,2,45.7670000000,4.8590000000,1
202100000302,50,10,6,2021,2,44.8535260000, -0.5657060000,1
202100000302,50,10,6,2021,2,44.8535260000, -0.5657060000,4
202100000307,80,22,6,2021,2,46.8103200000,1.6870300000,1
202100000307,80,22,6,2021,2,46.8103200000,1.6870300000,3
202100000308,1,12,7,2021,2,43.4050800000,5.2231800000,3
202100000308,1,12,7,2021,2,43.4050800000,5.2231800000,1
202100000308,1,12,7,2021,2,43.4050800000,5.2231800000,1
202100000311,1,8,7,2021,2,43.4651100000,5.3536000000,4
202100000311,1,8,7,2021,2,43.4651100000,5.3536000000,3
202100000322,1,1,4,2021,2,44.8515900000, -0.5740400000,4
202100000322,1,1,4,2021,2,44.8515900000, -0.5740400000,1
202100000334,1,28,8,2021,1,45.2207770000,5.6814511000,1
202100000334,1,28,8,2021,1,45.2207770000,5.6814511000,2
202100000344,1,27,12,2021,2,44.8364600000, -0.6011900000,1
202100000344,1,27,12,2021,2,44.8364600000, -0.6011900000,4
202100000349,1,27,10,2021,2,48.8804910000,2.3129920000,4
202100000349,1,27,10,2021,2,48.8804910000,2.3129920000,1
202100000353,1,10,11,2021,2,45.8695800000,1.2977500000,3
202100000354,1,24,10,2021,2,45.8532800000,1.2958800000,3
202100000354,1,24,10,2021,2,45.8532800000,1.2958800000,1
