Num_Acc,catv,jour,mois,an,hrmn,lum,atm,lat,long,grav,situ
201700000002,1,13,2,17,1630,1,1.0,5053611.0,295314.0,1,
201700000002,1,13,2,17,1630,1,1.0,5053611.0,295314.0,3,
201700000019,1,9,8,17,745,1,1.0,5054769.0,310034.0,3,
201700000019,1,9,8,17,745,1,1.0,5054769.0,310034.0,1,
201700000022,1,27,12,17,1200,1,1.0,5054129.0,318902.0,3,
201700000022,1,27,12,17,1200,1,1.0,5054129.0,318902.0,1,
201700000042,1,7,3,17,805,1,1.0,5063688.0,273420.0,1,1.0
201700000042,1,7,3,17,805,1,1.0,5063688.0,273420.0,3,1.0
201700000043,1,15,4,17,1135,1,1.0,5064736.0,272026.0,4,1.0
201700000043,1,15,4,17,1135,1,1.0,5064736.0,272026.0,3,1.0
201700000043,1,15,4,17,1135,1,1.0,5064736.0,272026.0,1,1.0
201700000058,1,23,9,17,1445,1,1.0,5060791.0,327096.0,4,
201700000058,1,23,9,17,1445,1,1.0,5060791.0,327096.0,1,
201700000062,1,4,4,17,715,1,1.0,5053189.0,320942.0,1,
201700000062,1,4,4,17,715,1,1.0,5053189.0,320942.0,3,
201700000065,1,31,10,17,1030,1,1.0,5056090.0,323893.0,3,
201700000065,1,31,10,17,1030,1,1.0,5056090.0,323893.0,1,
201700000092,1,23,6,17,1955,2,7.0,5005823.0,389344.0,3,
201700000099,1,22,3,17,2030,5,1.0,5001860.0,405058.0,1,
201700000099,1,22,3,17,2030,5,1.0,5001860.0,405058.0,4,
201700000106,1,13,6,17,830,1,7.0,5002676.0,401405.0,1,1.0
201700000106,1,13,6,17,830,1,7.0,5002676.0,401405.0,3,1.0
201700000107,1,31,8,17,1415,1,1.0,5001885.0,404452.0,1,
201700000107,1,31,8,17,1415,1,1.0,5001885.0,404452.0,3,
201700000108,1,30,9,17,1430,1,1.0,5001826.0,404396.0,3,
201700000108,1,30,9,17,1430,1,1.0,5001826.0,404396.0,1,
201700000121,1,22,2,17,1830,3,2.0,5013288.0,341713.0,1,1.0
201700000121,1,22,2,17,1830,3,2.0,5013288.0,341713.0,3,1.0
201700000159,1,29,8,17,2120,3,1.0,5025543.0,384937.0,1,1.0
201700000159,1,29,8,17,2120,3,1.0,5025543.0,384937.0,3,1.0
201700000164,1,4,7,17,1925,1,1.0,5025066.0,362397.0,4,1.0
201700000164,1,4,7,17,1925,1,1.0,5025066.0,362397.0,1,1.0
201700000175,1,9,5,17,1545,1,1.0,5035777.0,282216.0,3,1.0
201700000181,1,18,11,17,1135,1,1.0,5037420.0,283707.0,1,1.0
201700000181,1,18,11,17,1135,1,1.0,5037420.0,283707.0,3,1.0
201700000197,1,10,9,17,930,1,1.0,5056414.0,161329.0,3,1.0
201700000197,1,10,9,17,930,1,1.0,5056414.0,161329.0,4,1.0
201700000198,1,13,1,17,1110,1,7.0,5063695.0,240949.0,4,1.0
201700000198,1,13,1,17,1110,1,7.0,5063695.0,240949.0,1,1.0
201700000200,1,31,1,17,1615,1,1.0,5063564.0,240146.0,4,1.0
201700000204,1,11,6,17,1050,1,1.0,5065938.0,227464.0,4,
201700000204,1,11,6,17,1050,1,1.0,5065938.0,227464.0,3,
201700000213,1,21,6,17,950,1,1.0,5019949.0,155414.0,1,
201700000213,1,21,6,17,950,1,1.0,5019949.0,155414.0,2,
201700000220,1,27,3,17,1750,1,7.0,5000223.0,264994.0,1,1.0
201700000220,1,27,3,17,1750,1,7.0,5000223.0,264994.0,4,1.0
201700000246,1,11,7,17,1623,1,1.0,4989602.0,411110.0,2,1.0
201700000246,1,11,7,17,1623,1,1.0,4989602.0,411110.0,1,1.0
